Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2015-10-03,ADANIPORTS,EQ,325.0,325.05,327.9,314.7,318.6,317.55,321.98,1215285.0,39100000000000.0,19946.0,389268.0,0.3203,1,294.8,306.145,309.685,-0.0009438414346389923,0.12107396853706442,1.0419447092469019,1.0236183278223903,2797414.5,0.4344315080943493,317.85,3921257.0,244.0,4226145.0,276.05,5642736.0,51.250448688828236
2015-10-04,ADANIPORTS,EQ,316.7,316.9,323.85,313.5,319.0,319.8,319.87,2127407.0,68000000000000.0,38382.0,960345.0,0.4514,0,295.05,305.625,308.94750000000005,0.007085498346717012,0.11847179885039069,1.0330143540669858,0.990931832395247,2827579.2,0.7523775107696364,317.55,1215285.0,317.85,3921257.0,244.0,4226145.0,51.570455738427846
2015-10-06,ADANIPORTS,EQ,306.55,307.0,314.25,306.05,312.65,312.95,312.35,2282770.0,71300000000000.0,38577.0,1078919.0,0.4726,1,302.43,305.25,308.6375,-0.021419637273295877,0.11836441099217579,1.026793007678484,0.9809873781754275,2905457.6,0.7856834668659421,319.8,2127407.0,317.55,1215285.0,317.85,3921257.0,50.48394274297274
2015-10-07,ADANIPORTS,EQ,315.15,318.75,321.55,315.2,316.0,317.1,317.58,2531442.0,80400000000000.0,48893.0,1288295.0,0.5089,1,317.05,306.305,307.7375,0.013260904297811349,0.11767447767672909,1.0201459390862946,1.0052034058656574,2886157.1,0.877097785148286,312.95,2282770.0,319.8,2127407.0,317.55,1215285.0,51.1553608814384
2015-10-08,ADANIPORTS,EQ,339.55,339.1,344.25,337.0,337.55,338.55,340.18,4031354.0,137000000000000.0,55949.0,1934312.0,0.4798,0,321.19,308.645,309.5575,0.06764427625354763,0.11904309988859446,1.021513353115727,1.0016245753950672,2937183.9,1.3725235249995753,317.1,2531442.0,312.95,2282770.0,319.8,2127407.0,54.58325135047169
2015-10-09,ADANIPORTS,EQ,324.05,319.1,328.0,314.8,325.65,326.2,321.78,2432225.0,78300000000000.0,52258.0,1111352.0,0.4569,0,322.91999999999996,308.86,309.835,-0.036479102052872636,0.11987905780877763,1.0419313850063532,0.9782342121397917,2973348.0,0.8180088573554122,338.55,4031354.0,317.1,2531442.0,312.95,2282770.0,52.30713072891576
2015-10-11,ADANIPORTS,EQ,276.05,276.0,276.6,262.45,266.0,265.6,267.49,5013279.0,134000000000000.0,77214.0,2792157.0,0.557,0,312.08000000000004,303.565,307.2375,-0.1857755977927651,0.13454416906027727,1.0539150314345591,1.039156626506024,3342390.0,1.4999084487447605,326.2,2432225.0,338.55,4031354.0,317.1,2531442.0,42.86216608411261
2015-10-12,ADANIPORTS,EQ,244.0,245.1,249.45,242.15,245.95,246.9,246.71,4531790.0,112000000000000.0,56019.0,2618819.0,0.5779,1,298.87,300.65,303.54499999999996,-0.07040662650602414,0.12952187844314655,1.030146603345034,0.9927095990279465,3231295.4,1.4024684960712661,265.6,5013279.0,326.2,2432225.0,338.55,4031354.0,40.4357851493248
2015-11-02,ADANIPORTS,EQ,317.85,319.9,328.9,319.0,326.75,326.1,324.92,2148555.0,69800000000000.0,32049.0,602315.0,0.2803,0,300.66999999999996,308.86,307.2975,0.32077764277035237,0.15806178571647087,1.0310344827586206,0.9809874271695798,3023536.4,0.7106099334540837,246.9,4531790.0,265.6,5013279.0,326.2,2432225.0,52.65911431675873
2015-11-03,ADANIPORTS,EQ,317.55,318.9,318.9,302.2,307.05,307.8,307.87,4828130.0,149000000000000.0,41867.0,1624636.0,0.3365,1,294.52,307.855,306.13,-0.05611775528978846,0.1299434984579594,1.0552614162806089,1.0360623781676412,3114223.7,1.5503478443118905,326.1,2148555.0,246.9,4531790.0,265.6,5013279.0,50.10076952962965
