Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2016-05-04,ADANIPORTS,EQ,242.55,242.4,242.45,223.85,226.5,226.25,230.33,4836504.0,111000000000000.0,55671.0,2434877.0,0.5034,0
2016-05-05,ADANIPORTS,EQ,208.25,209.65,210.7,196.7,197.9,198.0,200.51,17225029.0,345000000000000.0,220399.0,7815160.0,0.4537,1
2016-05-07,ADANIPORTS,EQ,213.25,214.55,216.4,213.0,214.55,214.55,215.0,6536180.0,141000000000000.0,57739.0,3328142.0,0.5092,1
2016-05-08,ADANIPORTS,EQ,227.9,230.6,234.9,229.25,233.7,234.0,232.2,2112014.0,49000000000000.0,30266.0,850123.0,0.4025,1
2016-05-10,ADANIPORTS,EQ,268.7,269.95,269.95,264.0,265.1,265.45,266.41,2157411.0,57500000000000.0,25509.0,952480.0,0.4415,1
2016-05-12,ADANIPORTS,EQ,265.9,266.5,273.4,263.7,269.0,268.7,268.42,4802020.0,129000000000000.0,46234.0,1747270.0,0.3639,0
2016-06-01,ADANIPORTS,EQ,255.7,253.0,257.3,250.55,251.2,251.8,253.85,2029467.0,51500000000000.0,41766.0,738511.0,0.3639,0
2016-06-04,ADANIPORTS,EQ,226.25,227.0,229.75,221.15,224.5,224.35,224.02,6273776.0,141000000000000.0,99338.0,3643506.0,0.5808,0
2016-06-05,ADANIPORTS,EQ,198.0,198.0,199.5,190.55,193.9,194.55,194.84,15642446.0,305000000000000.0,220349.0,7099348.0,0.4539,1
2016-06-06,ADANIPORTS,EQ,204.55,201.0,204.55,196.0,203.8,203.7,200.93,5811557.0,117000000000000.0,44411.0,2559845.0,0.4405,1
2016-06-09,ADANIPORTS,EQ,268.2,270.0,271.75,267.6,269.05,270.6,270.3,4376626.0,118000000000000.0,33556.0,2859613.0,0.6534,0
2016-06-10,ADANIPORTS,EQ,265.45,267.0,267.6,261.2,264.5,264.9,265.21,3683355.0,97700000000000.0,29330.0,2042773.0,0.5546,1
2016-06-12,ADANIPORTS,EQ,268.7,274.0,274.5,270.1,272.3,271.9,272.36,3001729.0,81800000000000.0,29404.0,1148712.0,0.3827,0
2016-07-01,ADANIPORTS,EQ,251.8,245.65,247.5,241.5,244.9,245.0,244.85,4244402.0,104000000000000.0,63516.0,2231538.0,0.5258,0
2016-07-04,ADANIPORTS,EQ,224.35,225.5,228.0,216.0,216.75,216.8,220.01,4171133.0,91800000000000.0,55807.0,1921400.0,0.4606,0
