Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
14-08-2015,ADANIPORTS,EQ,334.7,340,365.8,340,363.35,363.75,359.06,13845397,4.97E+14,133729,8512533,0.6148
17-08-2015,ADANIPORTS,EQ,363.75,364,365,356.6,359,358.3,359.68,3561590,1.28E+14,80216,2188293,0.6144
18-08-2015,ADANIPORTS,EQ,358.3,361.65,372.8,361.65,362.9,363.45,366.77,4140901,1.52E+14,73574,1827337,0.4413
19-08-2015,ADANIPORTS,EQ,363.45,360,368.2,355.05,365.85,365.5,364.39,2272302,8.28E+13,49387,1121660,0.4936
20-08-2015,ADANIPORTS,EQ,365.5,366.95,374.8,358.55,370,368.55,369.66,5891117,2.18E+14,70939,3318975,0.5634
21-08-2015,ADANIPORTS,EQ,368.55,360.55,367.15,356.35,364.15,365.05,362.44,4288543,1.55E+14,61391,2340755,0.5458
24-08-2015,ADANIPORTS,EQ,365.05,348.55,349.7,325.4,335,334.6,337.43,6795047,2.29E+14,101793,3627534,0.5338
25-08-2015,ADANIPORTS,EQ,334.6,338,349.3,325.65,344.9,344.8,338.44,5152340,1.74E+14,72165,2449062,0.4753
26-08-2015,ADANIPORTS,EQ,344.8,344,355.25,336.25,348.2,347.85,348.42,4493391,1.57E+14,70735,2419465,0.5384
27-08-2015,ADANIPORTS,EQ,347.85,356.8,362.85,347.95,355.15,356.55,356,14512261,5.17E+14,91791,10525803,0.7253
28-08-2015,ADANIPORTS,EQ,356.55,360.5,369.45,357,365.15,362.65,364.15,5905591,2.15E+14,63095,3584614,0.607
31-08-2015,ADANIPORTS,EQ,362.65,365,372.4,345.2,348.65,355.45,356.9,30058587,1.07E+15,215588,22416516,0.7458
01-09-2015,ADANIPORTS,EQ,355.45,344.95,354.75,339,341.95,342.25,345.56,3654461,1.26E+14,79376,1720902,0.4709
02-09-2015,ADANIPORTS,EQ,342.25,344,347.45,332.95,333.7,334.55,338.66,4886043,1.65E+14,63074,2908579,0.5953
03-09-2015,ADANIPORTS,EQ,334.55,337.5,344.75,336.1,340.3,339.4,340.11,2448672,8.33E+13,35083,1024768,0.4185
04-09-2015,ADANIPORTS,EQ,339.4,338,342.65,330,339.4,339.35,334.92,2104869,7.05E+13,36092,898125,0.4267
07-09-2015,ADANIPORTS,EQ,339.35,340.9,345.5,321.3,322.25,322.65,331.16,2580631,8.55E+13,47612,1199220,0.4647
08-09-2015,ADANIPORTS,EQ,322.65,323.65,327.35,311.7,317.1,317.55,318.41,4788058,1.52E+14,58391,2487048,0.5194
09-09-2015,ADANIPORTS,EQ,317.55,323.5,327.6,320.15,324,324.05,324.24,2070584,6.71E+13,37958,803912,0.3883
10-09-2015,ADANIPORTS,EQ,324.05,319.1,328,314.8,325.65,326.2,321.78,2432225,7.83E+13,52258,1111352,0.4569
11-09-2015,ADANIPORTS,EQ,326.2,329,334,320.5,323.65,322.95,326.72,2528750,8.26E+13,39318,1045827,0.4136
14-09-2015,ADANIPORTS,EQ,322.95,324.4,331.2,323,329.45,329.95,327.09,2471856,8.09E+13,51081,1262372,0.5107
15-09-2015,ADANIPORTS,EQ,329.95,330.4,334.9,326.9,332,332.8,330.46,2164523,7.15E+13,30947,1032693,0.4771
16-09-2015,ADANIPORTS,EQ,332.8,337.65,337.65,331.1,334.85,334.2,333.92,1854497,6.19E+13,24692,931329,0.5022
18-09-2015,ADANIPORTS,EQ,334.2,340,351.2,335,337.3,339.7,343,11182333,3.84E+14,65941,7776453,0.6954
